Date,Price,Open,High,Low,Vol.,Change %
7-Nov-18,6565.30 ,6503.10 ,6594.30 ,6502.00 ,170.76K,0.96%
6-Nov-18,6502.80 ,6460.40 ,6509.60 ,6441.60 ,154.87K,0.67%
5-Nov-18,6459.70 ,6478.20 ,6489.20 ,6431.70 ,128.51K,-0.29%
4-Nov-18,6478.20 ,6386.20 ,6508.90 ,6359.70 ,128.76K,1.44%
3-Nov-18,6386.20 ,6424.50 ,6429.50 ,6346.20 ,112.84K,-0.60%
2-Nov-18,6424.70 ,6400.50 ,6444.30 ,6390.90 ,135.87K,0.38%
1-Nov-18,6400.50 ,6365.90 ,6421.80 ,6354.20 ,124.16K,0.54%
31-Oct-18,6365.90 ,6327.90 ,6405.70 ,6257.80 ,129.06K,0.64%
30-Oct-18,6325.70 ,6336.70 ,6469.90 ,6316.50 ,128.21K,-0.15%
29-Oct-18,6335.00 ,6486.10 ,6498.40 ,6310.50 ,160.52K,-2.33%
28-Oct-18,6486.10 ,6494.60 ,6502.20 ,6461.20 ,93.97K,-0.12%
27-Oct-18,6494.20 ,6510.00 ,6534.00 ,6473.70 ,76.72K,-0.24%
26-Oct-18,6510.00 ,6507.00 ,6570.50 ,6498.50 ,97.17K,0.05%
25-Oct-18,6507.00 ,6532.50 ,6544.80 ,6491.50 ,97.43K,-0.36%
24-Oct-18,6530.70 ,6531.20 ,6593.80 ,6522.60 ,98.74K,0.03%
23-Oct-18,6528.70 ,6558.60 ,6573.60 ,6500.50 ,108.86K,-0.41%
22-Oct-18,6555.80 ,6583.00 ,6612.70 ,6529.50 ,101.57K,-0.41%
21-Oct-18,6583.00 ,6575.90 ,6643.10 ,6568.00 ,92.94K,0.16%
20-Oct-18,6572.20 ,6511.70 ,6593.70 ,6495.90 ,97.77K,0.92%
19-Oct-18,6512.00 ,6576.40 ,6603.20 ,6506.90 ,121.44K,-0.94%
18-Oct-18,6574.10 ,6690.10 ,6736.30 ,6530.60 ,134.15K,-1.68%
17-Oct-18,6686.60 ,6718.90 ,6745.90 ,6637.80 ,136.71K,-0.28%
