Date,Price,Open,High,Low,Vol.,Change %
13-Mar-20,0.0284 ,0.0232 ,0.0293 ,0.0178,2.57B,22.24%
12-Mar-20,0.0232 ,0.0397 ,0.0398 ,0.0223,2.20B,-41.49%
11-Mar-20,0.0397 ,0.0414 ,0.0418 ,0.0374,604.50M,-4.16%
10-Mar-20,0.0414 ,0.0416 ,0.0430 ,0.0404,599.10M,-0.33%
9-Mar-20,0.0416 ,0.0428 ,0.0439 ,0.039,723.82M,-2.91%
8-Mar-20,0.0428 ,0.0488 ,0.0488 ,0.0424,522.11M,-12.25%
7-Mar-20,0.0488 ,0.0517 ,0.0518 ,0.0482,271.38M,-5.73%
6-Mar-20,0.0517 ,0.0509 ,0.0517 ,0.05,293.27M,1.59%
5-Mar-20,0.0509 ,0.0490 ,0.0523 ,0.049,417.30M,3.91%
4-Mar-20,0.0490 ,0.0487 ,0.0503 ,0.048,390.64M,0.74%
3-Mar-20,0.0487 ,0.0492 ,0.0494 ,0.0475,357.54M,-1.08%
2-Mar-20,0.0492 ,0.0457 ,0.0498 ,0.0455,394.76M,7.63%
1-Mar-20,0.0457 ,0.0471 ,0.0483 ,0.0451,423.08M,-3.02%
29-Feb-20,0.0471 ,0.0489 ,0.0499 ,0.0471,373.80M,-3.64%
28-Feb-20,0.0489 ,0.0498 ,0.0513 ,0.0466,559.79M,-1.80%
27-Feb-20,0.0498 ,0.0492 ,0.0521 ,0.0463,659.39M,1.30%
26-Feb-20,0.0492 ,0.0561 ,0.0566 ,0.0467,974.72M,-12.48%
25-Feb-20,0.0562 ,0.0590 ,0.0591 ,0.0561,425.45M,-4.87%
24-Feb-20,0.0590 ,0.0616 ,0.0618 ,0.0574,448.74M,-4.17%
23-Feb-20,0.0616 ,0.0582 ,0.0620 ,0.0581,362.45M,5.86%
22-Feb-20,0.0582 ,0.0586 ,0.0591 ,0.057,282.13M,-0.61%
21-Feb-20,0.0586 ,0.0582 ,0.0600 ,0.0575,409.79M,0.66%
20-Feb-20,0.0582 ,0.0574 ,0.0589 ,0.0553,598.58M,1.32%
19-Feb-20,0.0574 ,0.0627 ,0.0630 ,0.0569,555.03M,-8.46%
18-Feb-20,0.0627 ,0.0602 ,0.0637 ,0.0578,720.24M,4.28%
17-Feb-20,0.0602 ,0.0619 ,0.0626 ,0.0558,814.81M,-2.76%
16-Feb-20,0.0619 ,0.0643 ,0.0671 ,0.0569,840.38M,-3.72%
15-Feb-20,0.0643 ,0.0707 ,0.0713 ,0.0625,723.11M,-9.18%
14-Feb-20,0.0707 ,0.0687 ,0.0712 ,0.0672,639.24M,2.97%
13-Feb-20,0.0687 ,0.0682 ,0.0722 ,0.0656,967.17M,0.72%
12-Feb-20,0.0682 ,0.0634 ,0.0703 ,0.0634,790.92M,7.61%
11-Feb-20,0.0634 ,0.0603 ,0.0635 ,0.0589,447.70M,5.16%
10-Feb-20,0.0603 ,0.0619 ,0.0621 ,0.0584,493.35M,-2.57%
9-Feb-20,0.0619 ,0.0600 ,0.0624 ,0.06,430.07M,3.03%
8-Feb-20,0.0600 ,0.0599 ,0.0613 ,0.0571,462.30M,0.28%
